,Authors,Title,Citation,DOI,Year,Month,0,1,2,3,FINDINGS,Reported,Correction Date,Retraction,Correction,No Action,"SUM 
Completed",First Author,URL,Author count,ResearchGate_Link,university/institution,Location,Citations,Research Interest Score,index
13,"Fang Liu, A. Jesse Gore, Julie L. Wilson, Murray Korc",DUSP1 Is a Novel Target for Enhancing Pancreatic Cancer Cell Sensitivity to Gemcitabine,"PLOS ONE, January 2014 | Volume 9 | Issue 1 | e84982",10.1371/journal.pone.0084982,2014,1-Jan,,,1.0,,"duplicated, and mirrored blots",1,9/15/2014,,1.0,,1,Fang Liu,https://pubmed.ncbi.nlm.nih.gov//24409315/,4,https://www.researchgate.net/publication/259653511_DUSP1_Is_a_Novel_Target_for_Enhancing_Pancreatic_Cancer_Cell_Sensitivity_to_Gemcitabine,Indiana University-Purdue University Indianapolis,United States,53,32.3,0.919
14,"Jagannath Misra, Dipanjan Chanda, Don-Kyu Kim, Seung-Rye Cho, Seung-Hoi Koo, Chul- Ho Lee, Sung Hoon Back, Hueng-Sik Choi",Orphan Nuclear Receptor Errc Induces C-Reactive Protein Gene Expression through Induction of ER-Bound Bzip Transmembrane Transcription Factor CREBH,"PLOS One, January 2014 | Volume 9 | Issue 1 | e86342",10.1371/journal.pone.0086342,2014,1-Jan,,1.0,,,duplicated (negative) western blot,1,6/15/2005,,1.0,,1,Jagannath Misra,https://pubmed.ncbi.nlm.nih.gov//25946044/,8,https://www.researchgate.net/publication/259920428_Orphan_Nuclear_Receptor_Errg_Induces_C-Reactive_Protein_Gene_Expression_through_Induction_of_ER-Bound_Bzip_Transmembrane_Transcription_Factor_CREBH?_sg=k2ETvBK1VeAwRmScNSz2Z-7H_dDh4pZ31suBnJScKDYolD-PHlRVAcTCzH_27Y0Lm7oPv3k7X56neeA,Kyungpook National University Hospital,Korea (Republic of),18,10.4,0.906
15,"Trent Fowler, Payel Ghatak, David H. Price, Ronald Conaway, Joan Conaway, Cheng-Ming Chiang, James E. Bradner, Ali Shilatifard, Ananda L. Roy",Regulation of MYC Expression and Differential JQ1 Sensitivity in Cancer Cells,"PLOS One, January 2014 | Volume 9 | Issue 1 | e87003",10.1371/journal.pone.0087003,2014,1-Jan,,,1.0,,"duplicated, and stretched blot",1,4/22/2015,,1.0,,1,Trent Fowler,https://pubmed.ncbi.nlm.nih.gov//24466310/,9,https://www.researchgate.net/publication/307731489_Correction_Regulation_of_MYC_Expression_and_Differential_JQ1_Sensitivity_in_Cancer_Cells,,Location information not found,56,32.1,
16,"Mojca Jez, Sakthikumar Ambady, Olga Kashpur, Alexandra Grella, Christopher Malcuit, Lucy Vilner, Primoz Rozman, Tanja Dominko",Expression and Differentiation between OCT4A and Its Pseudogenes in Human ESCs and Differentiated Adult Somatic Cells,"PLOS One, February 2014 | Volume 9 | Issue 2 | e89546",10.1371/journal.pone.0089546,2014,2-Feb,1.0,,1.0,,"Duplicated, and shifted GAPDH gel panel",1,7/28/2014,,1.0,,1,Mojca Jez,https://pubmed.ncbi.nlm.nih.gov//25687509/,8,https://www.researchgate.net/publication/260447987_Expression_and_Differentiation_between_OCT4A_and_Its_Pseudogenes_in_Human_ESCs_and_Differentiated_Adult_Somatic_Cells,Blood transfusion centre of Slovenia - Zavod Republike Slovenije za transfuzijsko medicino,Slovenia,40,24.1,0.902
17,"Zhenni Zhang, Jianrui Lv, Xiaoming Lei, Siyuan Li, Yong Zhang, Lihua Meng, Rongliang Xue, Zongfang Li",Baicalein Reduces the Invasion of Glioma Cells via Reducing the Activity of p38 Signaling Pathway,"PLOS One, February 2014 | Volume 9 | Issue 2 | e90318",10.1371/journal.pone.0090318,2014,2-Feb,,,1.0,,Mirrored blot panels representing different proteins,1,7/25/2016,1.0,,,1,Zhenni Zhang,https://pubmed.ncbi.nlm.nih.gov//27455054/,8,https://www.researchgate.net/publication/260448508_Baicalein_Reduces_the_Invasion_of_Glioma_Cells_via_Reducing_the_Activity_of_p38_Signaling_Pathway,,Location information not found,36,20.4,
18,"Christophe Broca,  Elodie Varin, Mathieu Armanet, C_¯_¿_ile Tourrel-Cuzin, Domenico Bosco,  St_¯_¿_hane Dalle, Anne Wojtusciszyn",Proteasome Dysfunction Mediates High Glucose-Induced Apoptosis in Rodent Beta Cells and Human Islets,"PLOS ONE, March 2014 | Volume 9 | Issue 3 | e92066",10.1371/journal.pone.0092066,2014,3-Mar,,,1.0,,duplicated/reused actin blot panels,1,7/14/2007,,1.0,,1,Christophe Broca,https://pubmed.ncbi.nlm.nih.gov//19223597/,7,https://www.researchgate.net/publication/287071867_Correction_Proteasome_dysfunction_mediates_high_glucose-induced_apoptosis_in_rodent_beta_cells_and_human_islets_PLoS_ONE_2014_9_3_e92066_DOI_101371journalpone0092066,"Mount Sinai Hospital, Toronto",Canada,38,19.1,0.925
19,"Sylwia Flis, Agnieszka Gnyszka, Krzysztof Flis",DNA Methyltransferase Inhibitors Improve the Effect of Chemotherapeutic Agents in SW48 and HT-29 Colorectal Cancer Cells,"PLOS One, March 2014 | Volume 9 | Issue 3 | e92305",10.1371/journal.pone.0092305,2014,3-Mar,,,1.0,,Duplicated lanes within different panels - but representing same conditions,1,8/18/2014,,1.0,,1,Sylwia Flis,https://pubmed.ncbi.nlm.nih.gov//24172061/,3,https://www.researchgate.net/publication/261187224_DNA_Methyltransferase_Inhibitors_Improve_the_Effect_of_Chemotherapeutic_Agents_in_SW48_and_HT-29_Colorectal_Cancer_Cells,Institute of Biochemistry and Biophysics Polish Academy of Sciences,Poland,37,19.6,0.865
20,"Takaharu Nakayoshi, Ken-ichiro Sasaki, Hidemi Kajimoto, Hiroshi Koiwaya, Masanori Ohtsuka, Takafumi Ueno, Hidetoshi Chibana, Naoki Itaya, Masahiro Sasaki, Shinji Yokoyama, Yoshihiro Fukumoto, Tsutomu Imaizumi",FOXO4-Knockdown Suppresses Oxidative Stress-Induced Apoptosis of Early Pro-Angiogenic Cells and Augments Their Neovascularization Capacities in Ischemic Limbs,"PLOS ONE, March 2014 | Volume 9 | Issue 3 | e92626",10.1371/journal.pone.0092626,2014,3-Mar,,,1.0,,Mirrored microscopy image,1,4/27/2015,,1.0,,1,Takaharu Nakayoshi,https://pubmed.ncbi.nlm.nih.gov//24663349/,12,https://www.researchgate.net/publication/261068445_FOXO4-Knockdown_Suppresses_Oxidative_Stress-Induced_Apoptosis_of_Early_Pro-Angiogenic_Cells_and_Augments_Their_Neovascularization_Capacities_in_Ischemic_Limbs,Kurume University,Japan,14,6.8,0.914
21,"Yuri Churin, Martin Roderfeld, Johannes Stiefel, Tilman Wu r_ ger, Dirk Schro __ er, Tomomitsu Matono, Hans-Joachim Mollenkopf, Roberta Montalbano, Malvika Pompaiah, Kurt Reifenberg5, Daniel Zahner, Matthias Ocker, Wolfram Gerlich, Dieter Glebe, Elke Roeb",Pathological Impact of Hepatitis B Virus Surface Proteins on the Liver Is Associated with the Host Genetic Background,"PLOS One, March 2014 | Volume 9 | Issue 3 | e90608",10.1371/journal.pone.0090608,2014,3-Mar,1.0,1.0,,,"Duplicated actin blot panel but different experiments, cuts in panels",1,1/15/2005,,1.0,,1,Yuri Churin,https://pubmed.ncbi.nlm.nih.gov//24594856/,15,https://www.researchgate.net/publication/260526454_Pathological_Impact_of_Hepatitis_B_Virus_Surface_Proteins_on_the_Liver_Is_Associated_with_the_Host_Genetic_Background,Justus-Liebig-Universität Gießen,Germany,29,11,0.937
22,"Chuan Li, Cheng Wang, Lingxue Meng, Jiewen Xing, Tianya Wang, Hua Yang, Yingyin Yao, Huiru Peng, Zhaorong Hu, Qixin Sun, Zhongfu Ni",Ectopic Expression of a Maize Hybrid Down-Regulated Gene ZmARF25 Decreases Organ Size by Affecting Cellular Proliferation in Arabidopsis,"PLOS One, April 2014 | Volume 9 | Issue 4 | e94830",10.1371/journal.pone.0094830,2014,4-Apr,,,,1,"Manipulated plant images, duplication of seeds, manipulated leaves",1,12/16/2005,1.0,,,1,Chuan Li,https://pubmed.ncbi.nlm.nih.gov//27171146/,11,https://www.researchgate.net/publication/261801755_Ectopic_Expression_of_a_Maize_Hybrid_Down-Regulated_Gene_ZmARF25_Decreases_Organ_Size_by_Affecting_Cellular_Proliferation_in_Arabidopsis,,Location information not found,11,9.2,
23,"Gail Doughton, Jun Wei, Nicolas Tapon, Melanie J. Welham, Andrew D. Chalmers",Formation of a Polarised Primitive Endoderm Layer in Embryoid Bodies Requires Fgfr/ Erk Signalling,"PLOS One, April 2014 | Volume 9 | Issue 4 | e95434",10.1371/journal.pone.0095434,2014,4-Apr,,,1.0,,"Duplicated compressed blots, overlapping microscopy",1,,,1.0,,1,Gail Doughton,https://pubmed.ncbi.nlm.nih.gov//24752320/,5,https://www.researchgate.net/publication/307719976_Correction_Formation_of_a_Polarised_Primitive_Endoderm_Layer_in_Embryoid_Bodies_Requires_FgfrErk_Signalling,University of Bath,United Kingdom,10,7.8,0.924
24,"Liliana O. Rocha, Sabina Moser Tralamazza, Gabriela M. Reis, Leon Rabinovitch, Cynara B. Barbosa, Benedito Corre_a",Multi-Method Approach for Characterizing the Interaction between Fusarium verticillioides and Bacillus thuringiensis Subsp. Kurstaki,"PLOS One, April 2014 | Volume 9 | Issue 4 | e92189",10.1371/journal.pone.0092189,2014,4-Apr,,1.0,,,Duplicated FACS panels,1,12/14/2008,,1.0,,1,Liliana O. Rocha,https://pubmed.ncbi.nlm.nih.gov//24739804/,6,https://www.researchgate.net/publication/307818212_Correction_Multi-Method_Approach_for_Characterizing_the_Interaction_between_Fusarium_verticillioides_and_Bacillus_thuringiensis_Subsp_Kurstaki,University of Campinas,Brazil,9,7.3,0.754
25,"Prabuddha Dey, Monami Chakraborty, Maulik R. Kamdar, Mrinal K. Maiti",Functional Characterization of Two Structurally Novel Diacylglycerol Acyltransferase2 Isozymes Responsible for the Enhanced Production of Stearate-Rich Storage Lipid in Candida tropicalis SY005,"PLOS One, 14 April 2014 | Volume 9 | Issue 4 | e94472",10.1371/journal.pone.0094472,2014,4-Apr,,,,1,"Duplicated cells within microscopy panels, multiple cases, duplicated blots",1,,1.0,,,1,Prabuddha Dey,https://pubmed.ncbi.nlm.nih.gov//29059244/,4,https://www.researchgate.net/publication/261734829_Functional_Characterization_of_Two_Structurally_Novel_Diacylglycerol_Acyltransferase2_Isozymes_Responsible_for_the_Enhanced_Production_of_Stearate-Rich_Storage_Lipid_in_Candida_tropicalis_SY005,Rutgers New Jersey Medical School,United States,16,8,0.919
26,"Xiaomei Ge, Yafei Zhang, Sungwon Park, Xiaofei Cong, David E. Gerrard, Honglin Jiang",Stac3 Inhibits Myoblast Differentiation into Myotubes,"PLOS One, April 2014 | Volume 9 | Issue 4 | e95926",10.1371/journal.pone.0095926,2014,4-Apr,,1.0,,,Duplicated microscopy images,1,7/14/2008,,1.0,,1,Xiaomei Ge,https://pubmed.ncbi.nlm.nih.gov//24948655/,6,https://www.researchgate.net/publication/262024621_Stac3_Inhibits_Myoblast_Differentiation_into_Myotubes,Sejong University,Korea (Republic of),22,14.9,0.906
27,"Xudong Shi, Daniel DiRenzo, Lian-Wang Guo, Sarah R. Franco, Bowen Wang, Stephen Seedial, K. Craig Kent",TGF-b/Smad3 Stimulates Stem Cell/Developmental Gene Expression and Vascular Smooth Muscle Cell De-Differentiation,"PLOS One, April 2014 | Volume 9 | Issue 4 | e93995",10.1371/journal.pone.0093995,2014,4-Apr,,1.0,,,Duplicated blot panels,1,7/22/2014,,1.0,,1,Xudong Shi,https://pubmed.ncbi.nlm.nih.gov//26912210/,7,https://www.researchgate.net/publication/261520217_TGF-bSmad3_Stimulates_Stem_CellDevelopmental_Gene_Expression_and_Vascular_Smooth_Muscle_Cell_De-Differentiation,University of Wisconsin–Madison,United States,36,17.1,0.919
28,"Yushen Jiang, Tang Jiang, Juan Ouyang, Qingsong Zhou, Yanlan Liang, Yingpeng Cui, Peisong Chen, Bin Huang",Cell Atavistic Transition: Paired Box 2 Re-Expression Occurs in Mature Tubular Epithelial Cells during Acute Kidney Injury and Is Regulated by Angiotensin II,"PLOS One, April 2014 | Volume 9 | Issue 4 | e93563",10.1371/journal.pone.0093563,2014,4-Apr,,1.0,,,Duplicated gel panels,1,6/15/2005,,1.0,,1,Yushen Jiang,https://pubmed.ncbi.nlm.nih.gov//25945929/,8,https://www.researchgate.net/publication/261443575_Cell_Atavistic_Transition_Paired_Box_2_Re-Expression_Occurs_in_Mature_Tubular_Epithelial_Cells_during_Acute_Kidney_Injury_and_Is_Regulated_by_Angiotensin_II,Zhejiang University,China,7,5,0.725
29,"Ambrish Kumar, Daping Fan, Donald J. DiPette, Ugra S. Singh","Sparstolonin B, a Novel Plant Derived Compound, Arrests Cell Cycle and Induces Apoptosis in N-Myc Amplified and N-Myc Nonamplified Neuroblastoma Cells","PLOS ONE, May 2014 | Volume 9 | Issue 5 | e96343",10.1371/journal.pone.0096343,2014,5-May,,1.0,,,Duplicated microscopy images,1,6/16/2007,,1.0,,1,Ambrish Kumar,https://pubmed.ncbi.nlm.nih.gov//27384668/,4,https://www.researchgate.net/publication/262024595_Sparstolonin_B_a_Novel_Plant_Derived_Compound_Arrests_Cell_Cycle_and_Induces_Apoptosis_in_N-Myc_Amplified_and_N-Myc_Nonamplified_Neuroblastoma_Cells,Amity University,India,20,13.4,0.619
30,"Bo Gao, Qiang Huang, Yan-Shui Lin, Bo-Yuan Wei, Yun-Shan Guo, Zhen Sun, Long Wang, Jing Fan, Hong-Yang Zhang, Yue-Hu Han, Xiao-Jie Li, Jun Shi, Jian Liu, Liu Yang, Zhuo-Jing Luo",Dose-Dependent Effect of Estrogen Suppresses the Osteo-Adipogenic Transdifferentiation of Osteoblasts via Canonical Wnt Signaling Pathway,"PLoS ONE 9(6): e99137, June 11, 2014. doi:10.1371/journal.pone.0099137",10.1371/journal.pone.0099137,2014,6-Jun,,,1.0,,"Duplicated, and stretched microscopy images, multiple cases",1,2/14/2012,,1.0,,1,Bo Gao,https://pubmed.ncbi.nlm.nih.gov//34821370/,15,https://www.researchgate.net/publication/263014255_Dose-Dependent_Effect_of_Estrogen_Suppresses_the_Osteo-Adipogenic_Transdifferentiation_of_Osteoblasts_via_Canonical_Wnt_Signaling_Pathway,,Location information not found,40,22.1,
31,"Yang Liu, Yuanyuan Liu, Chao Sun, Lu Gan, Luwei Zhang, Aihong Mao, Yuting Du, Rong Zhou, Hong Zhang",Carbon Ion Radiation Inhibits Glioma and Endothelial Cell Migration Induced by Secreted VEGF,"PLOS ONE, June 2014 | Volume 9 | Issue 6 | e98448",10.1371/journal.pone.0098448,2014,6-Jun,,,1.0,,Overlapping microscopy images,1,7/15/2008,,1.0,,1,Yang Liu,https://pubmed.ncbi.nlm.nih.gov//24893038/,9,https://www.researchgate.net/publication/262846214_Carbon_Ion_Radiation_Inhibits_Glioma_and_Endothelial_Cell_Migration_Induced_by_Secreted_VEGF,Zhengzhou University,China,20,12.5,0.725
32,"Manasa K. Nayak, Ayusman Dash, Nitesh Singh, Debabrata Dash",Aspirin Delimits Platelet Life Span by Proteasomal Inhibition,"PLOS ONE, August 2014 | Volume 9 | Issue 8 | e105049, doi: 10.1371/journal.pone.0105049",10.1371/journal.pone.0105049,2014,8-Aug,,,,1,Duplicated set of lanes within the same panel,1,12/14/2012,,1.0,,1,Manasa K. Nayak,https://pubmed.ncbi.nlm.nih.gov//23329846/,4,https://www.researchgate.net/publication/264794682_Aspirin_Delimits_Platelet_Life_Span_by_Proteasomal_Inhibition,University of Cincinnati,United States,22,14.5,0.919
33,"Wasia Rizwani, Aneesa Fasim, Deepshikha Sharma, Divya J. Reddy, Nabil A. M. Bin Omar, Surya S. Singh",S137 Phosphorylation of Profilin 1 Is an Important Signaling Event in Breast Cancer Progression,"PLOS ONE, August 2014 | Volume 9 | Issue 8 | e103868",10.1371/journal.pone.0103868,2014,8-Aug,,1.0,,,Duplicated microscopy panels,1,11/18/2014,,1.0,,1,Wasia Rizwani,https://pubmed.ncbi.nlm.nih.gov//24520372/,6,https://www.researchgate.net/publication/264432072_S137_Phosphorylation_of_Profilin_1_Is_an_Important_Signaling_Event_in_Breast_Cancer_Progression,Osmania University,India,13,13.1,0.619
34,"Shiuan Wang, Kai Li Tan, Melina A. Agosto, Bo Xiong, Shinya Yamamoto, Hector Sandoval, Manish Jaiswal, Vafa Bayat, Ke Zhang, Wu-Lin Charng, Gabriela David, Lita Duraine, Kartik Venkatachalam, Theodore G. Wensel, Hugo J. Bellen",The Retromer Complex Is Required for Rhodopsin Recycling and Its Loss Leads to Photoreceptor Degeneration,"PLOS Biology, April 2014 | Volume 12 | Issue 4 | e1001847",10.1371/journal.pbio.1001847,2014,4-Apr,,1.0,,,duplicated microscopy panels,1,5/28/2015,,1.0,,1,Shiuan Wang,https://pubmed.ncbi.nlm.nih.gov//24781186/,15,https://www.researchgate.net/publication/261996960_The_Retromer_Complex_Is_Required_for_Rhodopsin_Recycling_and_Its_Loss_Leads_to_Photoreceptor_Degeneration,Baylor College of Medicine,United States,69,35.3,0.919
