Authors,Title,Citation,DOI,Year,Month,0,1,2,3,FINDINGS,Reported,Correction Date,Retraction,Correction,No Action,"SUM 
Completed",First Author,URL,Author count,ResearchGate_Link,university/institution,Research Interest Score,Citations,Location_List,Location
"Yan Zhang, Lei Shan, Yaping Hua, Dan Wang, Huawu Zeng, Runhui Liu, Weidong Zhang, Zhenlin Hu",Baicalein Selectively Induces Apoptosis in Activated Lymphocytes and Ameliorates Concanavalin A-Induced Hepatitis in Mice,"PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69592",10.1371/journal.pone.0069592,2013,7-Jul,,,1.0,,two sets of duplicated facs panels but different percentages gated points,1,1/26/15,,1.0,,1,Yan Zhang,https://pubmed.ncbi.nlm.nih.gov//23894507/,8,https://www.researchgate.net/publication/279035173_Baicalein_Selectively_Induces_Apoptosis_in_Activated_Lymphocytes_and_Ameliorates_Concanavalin_A-Induced_Hepatitis_in_Mice_vol_8_e69592_2013/download,Shandong Academy of Agricultural Sciences,missing,missing,missing_location,China
"Zhongpu Chen, Xiaodong Pan, Yuyu Yao, Fengdi Yan, Long Chen, Rong Huang, Genshan Ma",Epigenetic Regulation of Cardiac Progenitor Cells Marker c-kit by Stromal Cell Derived Factor-1a,"PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69134, doi:10.1371/journal.pone.0069134",10.1371/journal.pone.0069134,2013,7-Jul,,,1.0,,overlapping microscopy images,1,7/23/14,,1.0,,1,Zhongpu Chen,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0069134,7,,,missing,missing,missing_location,Location information not found
"Akrem Abdulsid, Alexander Fletcher, Fiona Lyall",Heat Shock Protein 27 Is Spatially Distributed in the Human Placenta and Decreased during Labor,"PLOS ONE, August 2013 | Volume 8 | Issue 8 | e71127",10.1371/journal.pone.0071127,2013,8-Aug,,,,1,reuse of 2 bands multiple times to create blot panel,1,,1.0,,,1,Akrem Abdulsid,https://pubmed.ncbi.nlm.nih.gov//29933401/,3,https://www.researchgate.net/publication/235402832_Heat_Shock_Protein_70_Expression_Is_Spatially_Distributed_in_Human_Placenta_and_Selectively_Upregulated_during_Labor_and_Preeclampsia,University of Glasgow,missing,missing,United Kingdom,United Kingdom
"Fang Liu, A. Jesse Gore, Julie L. Wilson, Murray Korc",DUSP1 Is a Novel Target for Enhancing Pancreatic Cancer Cell Sensitivity to Gemcitabine,"PLOS ONE, January 2014 | Volume 9 | Issue 1 | e84982",10.1371/journal.pone.0084982,2014,1-Jan,,,1.0,,"duplicated, and mirrored blots",1,9/15/14,,1.0,,1,Fang Liu,https://pubmed.ncbi.nlm.nih.gov//24409315/,4,https://www.researchgate.net/publication/259653511_DUSP1_Is_a_Novel_Target_for_Enhancing_Pancreatic_Cancer_Cell_Sensitivity_to_Gemcitabine,Indiana University-Purdue University Indianapolis,missing,missing,United States,United States
"Jagannath Misra, Dipanjan Chanda, Don-Kyu Kim, Seung-Rye Cho, Seung-Hoi Koo, Chul- Ho Lee, Sung Hoon Back, Hueng-Sik Choi",Orphan Nuclear Receptor Errc Induces C-Reactive Protein Gene Expression through Induction of ER-Bound Bzip Transmembrane Transcription Factor CREBH,"PLOS One, January 2014 | Volume 9 | Issue 1 | e86342",10.1371/journal.pone.0086342,2014,1-Jan,,1.0,,,duplicated (negative) western blot,1,5/6/15,,1.0,,1,Jagannath Misra,https://pubmed.ncbi.nlm.nih.gov//25946044/,8,,Kyungpook National University Hospital,missing,missing,missing_location,South Korea
"Trent Fowler, Payel Ghatak, David H. Price, Ronald Conaway, Joan Conaway, Cheng-Ming Chiang, James E. Bradner, Ali Shilatifard, Ananda L. Roy",Regulation of MYC Expression and Differential JQ1 Sensitivity in Cancer Cells,"PLOS One, January 2014 | Volume 9 | Issue 1 | e87003",10.1371/journal.pone.0087003,2014,1-Jan,,,1.0,,"duplicated, and stretched blot",1,4/22/15,,1.0,,1,Trent Fowler,https://pubmed.ncbi.nlm.nih.gov//24466310/,9,https://www.researchgate.net/publication/307731489_Correction_Regulation_of_MYC_Expression_and_Differential_JQ1_Sensitivity_in_Cancer_Cells,,missing,missing,missing_location,Location information not found
"Mojca Jez, Sakthikumar Ambady, Olga Kashpur, Alexandra Grella, Christopher Malcuit, Lucy Vilner, Primoz Rozman, Tanja Dominko",Expression and Differentiation between OCT4A and Its Pseudogenes in Human ESCs and Differentiated Adult Somatic Cells,"PLOS One, February 2014 | Volume 9 | Issue 2 | e89546",10.1371/journal.pone.0089546,2014,2-Feb,1.0,,1.0,,"Duplicated, and shifted GAPDH gel panel",1,7/28/14,,1.0,,1,Mojca Jez,https://pubmed.ncbi.nlm.nih.gov//25687509/,8,https://www.researchgate.net/publication/260447987_Expression_and_Differentiation_between_OCT4A_and_Its_Pseudogenes_in_Human_ESCs_and_Differentiated_Adult_Somatic_Cells,Blood transfusion centre of Slovenia - Zavod Republike Slovenije za transfuzijsko medicino,missing,missing,Failed to fetch page,Slovenia
"Zhenni Zhang, Jianrui Lv, Xiaoming Lei, Siyuan Li, Yong Zhang, Lihua Meng, Rongliang Xue, Zongfang Li",Baicalein Reduces the Invasion of Glioma Cells via Reducing the Activity of p38 Signaling Pathway,"PLOS One, February 2014 | Volume 9 | Issue 2 | e90318",10.1371/journal.pone.0090318,2014,2-Feb,,,1.0,,Mirrored blot panels representing different proteins,1,7/25/16,1.0,,,1,Zhenni Zhang,https://pubmed.ncbi.nlm.nih.gov//27455054/,8,https://www.researchgate.net/publication/260448508_Baicalein_Reduces_the_Invasion_of_Glioma_Cells_via_Reducing_the_Activity_of_p38_Signaling_Pathway,,missing,missing,missing_location,Location information not found
"Christophe Broca,  Elodie Varin, Mathieu Armanet, Cï¿½cile Tourrel-Cuzin, Domenico Bosco,  Stï¿½phane Dalle, Anne Wojtusciszyn",Proteasome Dysfunction Mediates High Glucose-Induced Apoptosis in Rodent Beta Cells and Human Islets,"PLOS ONE, March 2014 | Volume 9 | Issue 3 | e92066",10.1371/journal.pone.0092066,2014,3-Mar,,,1.0,,duplicated/reused actin blot panels,1,7/7/14,,1.0,,1,Christophe Broca,https://pubmed.ncbi.nlm.nih.gov//19223597/,7,https://www.researchgate.net/publication/287071867_Correction_Proteasome_dysfunction_mediates_high_glucose-induced_apoptosis_in_rodent_beta_cells_and_human_islets_PLoS_ONE_2014_9_3_e92066_DOI_101371journalpone0092066,"Mount Sinai Hospital, Toronto",missing,missing,Failed to fetch page,Canada
"Sylwia Flis, Agnieszka Gnyszka, Krzysztof Flis",DNA Methyltransferase Inhibitors Improve the Effect of Chemotherapeutic Agents in SW48 and HT-29 Colorectal Cancer Cells,"PLOS One, March 2014 | Volume 9 | Issue 3 | e92305",10.1371/journal.pone.0092305,2014,3-Mar,,,1.0,,Duplicated lanes within different panels - but representing same conditions,1,8/18/14,,1.0,,1,Sylwia Flis,https://pubmed.ncbi.nlm.nih.gov//24172061/,3,https://www.researchgate.net/publication/261187224_DNA_Methyltransferase_Inhibitors_Improve_the_Effect_of_Chemotherapeutic_Agents_in_SW48_and_HT-29_Colorectal_Cancer_Cells,Institute of Biochemistry and Biophysics Polish Academy of Sciences,missing,missing,Failed to fetch page,Poland
"Takaharu Nakayoshi, Ken-ichiro Sasaki, Hidemi Kajimoto, Hiroshi Koiwaya, Masanori Ohtsuka, Takafumi Ueno, Hidetoshi Chibana, Naoki Itaya, Masahiro Sasaki, Shinji Yokoyama, Yoshihiro Fukumoto, Tsutomu Imaizumi",FOXO4-Knockdown Suppresses Oxidative Stress-Induced Apoptosis of Early Pro-Angiogenic Cells and Augments Their Neovascularization Capacities in Ischemic Limbs,"PLOS ONE, March 2014 | Volume 9 | Issue 3 | e92626",10.1371/journal.pone.0092626,2014,3-Mar,,,1.0,,Mirrored microscopy image,1,4/27/15,,1.0,,1,Takaharu Nakayoshi,https://pubmed.ncbi.nlm.nih.gov//24663349/,12,https://www.researchgate.net/publication/261068445_FOXO4-Knockdown_Suppresses_Oxidative_Stress-Induced_Apoptosis_of_Early_Pro-Angiogenic_Cells_and_Augments_Their_Neovascularization_Capacities_in_Ischemic_Limbs,Kurume University,missing,missing,Japan,Japan
"Yuri Churin, Martin Roderfeld, Johannes Stiefel, Tilman Wu r_ ger, Dirk Schro __ er, Tomomitsu Matono, Hans-Joachim Mollenkopf, Roberta Montalbano, Malvika Pompaiah, Kurt Reifenberg5, Daniel Zahner, Matthias Ocker, Wolfram Gerlich, Dieter Glebe, Elke Roeb",Pathological Impact of Hepatitis B Virus Surface Proteins on the Liver Is Associated with the Host Genetic Background,"PLOS One, March 2014 | Volume 9 | Issue 3 | e90608",10.1371/journal.pone.0090608,2014,3-Mar,1.0,1.0,,,"Duplicated actin blot panel but different experiments, cuts in panels",1,5/1/15,,1.0,,1,Yuri Churin,https://pubmed.ncbi.nlm.nih.gov//24594856/,15,https://www.researchgate.net/publication/260526454_Pathological_Impact_of_Hepatitis_B_Virus_Surface_Proteins_on_the_Liver_Is_Associated_with_the_Host_Genetic_Background,Justus-Liebig-Universität Gießen,missing,missing,Failed to fetch page,Germany
"Chuan Li, Cheng Wang, Lingxue Meng, Jiewen Xing, Tianya Wang, Hua Yang, Yingyin Yao, Huiru Peng, Zhaorong Hu, Qixin Sun, Zhongfu Ni",Ectopic Expression of a Maize Hybrid Down-Regulated Gene ZmARF25 Decreases Organ Size by Affecting Cellular Proliferation in Arabidopsis,"PLOS One, April 2014 | Volume 9 | Issue 4 | e94830",10.1371/journal.pone.0094830,2014,4-Apr,,,,1,"Manipulated plant images, duplication of seeds, manipulated leaves",1,5/12/16,1.0,,,1,Chuan Li,https://pubmed.ncbi.nlm.nih.gov//27171146/,11,https://www.researchgate.net/publication/261801755_Ectopic_Expression_of_a_Maize_Hybrid_Down-Regulated_Gene_ZmARF25_Decreases_Organ_Size_by_Affecting_Cellular_Proliferation_in_Arabidopsis,,missing,missing,missing_location,Location information not found
"Gail Doughton, Jun Wei, Nicolas Tapon, Melanie J. Welham, Andrew D. Chalmers",Formation of a Polarised Primitive Endoderm Layer in Embryoid Bodies Requires Fgfr/ Erk Signalling,"PLOS One, April 2014 | Volume 9 | Issue 4 | e95434",10.1371/journal.pone.0095434,2014,4-Apr,,,1.0,,"Duplicated compressed blots, overlapping microscopy",1,,,1.0,,1,Gail Doughton,https://pubmed.ncbi.nlm.nih.gov//24752320/,5,https://www.researchgate.net/publication/307719976_Correction_Formation_of_a_Polarised_Primitive_Endoderm_Layer_in_Embryoid_Bodies_Requires_FgfrErk_Signalling,University of Bath,missing,missing,England,United Kingdom
"Liliana O. Rocha, Sabina Moser Tralamazza, Gabriela M. Reis, Leon Rabinovitch, Cynara B. Barbosa, Benedito Corre_a",Multi-Method Approach for Characterizing the Interaction between Fusarium verticillioides and Bacillus thuringiensis Subsp. Kurstaki,"PLOS One, April 2014 | Volume 9 | Issue 4 | e92189",10.1371/journal.pone.0092189,2014,4-Apr,,1.0,,,Duplicated FACS panels,1,8/12/14,,1.0,,1,Liliana O. Rocha,https://pubmed.ncbi.nlm.nih.gov//24739804/,6,https://www.researchgate.net/publication/261749567_Correction_Correction_Multi-Method_Approach_for_Characterizing_the_Interaction_between_Fusarium_verticillioides_and_Bacillus_thuringiensis_Subsp_Kurstaki,University of Campinas,missing,missing,Brazil,Brazil
"Prabuddha Dey, Monami Chakraborty, Maulik R. Kamdar, Mrinal K. Maiti",Functional Characterization of Two Structurally Novel Diacylglycerol Acyltransferase2 Isozymes Responsible for the Enhanced Production of Stearate-Rich Storage Lipid in Candida tropicalis SY005,"PLOS One, 14 April 2014 | Volume 9 | Issue 4 | e94472",10.1371/journal.pone.0094472,2014,4-Apr,,,,1,"Duplicated cells within microscopy panels, multiple cases, duplicated blots",1,,1.0,,,1,Prabuddha Dey,https://pubmed.ncbi.nlm.nih.gov//29059244/,4,https://www.researchgate.net/publication/261734829_Functional_Characterization_of_Two_Structurally_Novel_Diacylglycerol_Acyltransferase2_Isozymes_Responsible_for_the_Enhanced_Production_of_Stearate-Rich_Storage_Lipid_in_Candida_tropicalis_SY005,Rutgers New Jersey Medical School,missing,missing,United States,United States
"Xiaomei Ge, Yafei Zhang, Sungwon Park, Xiaofei Cong, David E. Gerrard, Honglin Jiang",Stac3 Inhibits Myoblast Differentiation into Myotubes,"PLOS One, April 2014 | Volume 9 | Issue 4 | e95926",10.1371/journal.pone.0095926,2014,4-Apr,,1.0,,,Duplicated microscopy images,1,8/7/14,,1.0,,1,Xiaomei Ge,https://pubmed.ncbi.nlm.nih.gov//24948655/,6,https://www.researchgate.net/publication/262024621_Stac3_Inhibits_Myoblast_Differentiation_into_Myotubes,Sejong University,missing,missing,South Korea,South Korea
"Xudong Shi, Daniel DiRenzo, Lian-Wang Guo, Sarah R. Franco, Bowen Wang, Stephen Seedial, K. Craig Kent",TGF-b/Smad3 Stimulates Stem Cell/Developmental Gene Expression and Vascular Smooth Muscle Cell De-Differentiation,"PLOS One, April 2014 | Volume 9 | Issue 4 | e93995",10.1371/journal.pone.0093995,2014,4-Apr,,1.0,,,Duplicated blot panels,1,7/22/14,,1.0,,1,Xudong Shi,https://pubmed.ncbi.nlm.nih.gov//26912210/,7,https://www.researchgate.net/publication/261520217_TGF-bSmad3_Stimulates_Stem_CellDevelopmental_Gene_Expression_and_Vascular_Smooth_Muscle_Cell_De-Differentiation,University of Wisconsin–Madison,missing,missing,United States,United States
"Yushen Jiang, Tang Jiang, Juan Ouyang, Qingsong Zhou, Yanlan Liang, Yingpeng Cui, Peisong Chen, Bin Huang",Cell Atavistic Transition: Paired Box 2 Re-Expression Occurs in Mature Tubular Epithelial Cells during Acute Kidney Injury and Is Regulated by Angiotensin II,"PLOS One, April 2014 | Volume 9 | Issue 4 | e93563",10.1371/journal.pone.0093563,2014,4-Apr,,1.0,,,Duplicated gel panels,1,5/6/15,,1.0,,1,Yushen Jiang,https://pubmed.ncbi.nlm.nih.gov//24710423/,8,,Zhejiang University,5.0,7,missing_location,China
"Ambrish Kumar, Daping Fan, Donald J. DiPette, Ugra S. Singh","Sparstolonin B, a Novel Plant Derived Compound, Arrests Cell Cycle and Induces Apoptosis in N-Myc Amplified and N-Myc Nonamplified Neuroblastoma Cells","PLOS ONE, May 2014 | Volume 9 | Issue 5 | e96343",10.1371/journal.pone.0096343,2014,5-May,,1.0,,,Duplicated microscopy images,1,7/6/16,,1.0,,1,Ambrish Kumar,https://pubmed.ncbi.nlm.nih.gov//24788776/,4,https://www.researchgate.net/publication/262024595_Sparstolonin_B_a_Novel_Plant_Derived_Compound_Arrests_Cell_Cycle_and_Induces_Apoptosis_in_N-Myc_Amplified_and_N-Myc_Nonamplified_Neuroblastoma_Cells,Amity University,13.4,20,missing_location,India
"Bo Gao, Qiang Huang, Yan-Shui Lin, Bo-Yuan Wei, Yun-Shan Guo, Zhen Sun, Long Wang, Jing Fan, Hong-Yang Zhang, Yue-Hu Han, Xiao-Jie Li, Jun Shi, Jian Liu, Liu Yang, Zhuo-Jing Luo",Dose-Dependent Effect of Estrogen Suppresses the Osteo-Adipogenic Transdifferentiation of Osteoblasts via Canonical Wnt Signaling Pathway,"PLoS ONE 9(6): e99137, June 11, 2014. doi:10.1371/journal.pone.0099137",10.1371/journal.pone.0099137,2014,6-Jun,,,1.0,,"Duplicated, and stretched microscopy images, multiple cases",1,12/2/14,,1.0,,1,Bo Gao,https://pubmed.ncbi.nlm.nih.gov//34821370/,15,,,13.4,20,missing_location,Location information not found
"Yang Liu, Yuanyuan Liu, Chao Sun, Lu Gan, Luwei Zhang, Aihong Mao, Yuting Du, Rong Zhou, Hong Zhang",Carbon Ion Radiation Inhibits Glioma and Endothelial Cell Migration Induced by Secreted VEGF,"PLOS ONE, June 2014 | Volume 9 | Issue 6 | e98448",10.1371/journal.pone.0098448,2014,6-Jun,,,1.0,,Overlapping microscopy images,1,8/7/15,,1.0,,1,Yang Liu,https://pubmed.ncbi.nlm.nih.gov//24893038/,9,https://www.researchgate.net/publication/262846214_Carbon_Ion_Radiation_Inhibits_Glioma_and_Endothelial_Cell_Migration_Induced_by_Secreted_VEGF,Zhengzhou University,13.4,20,China,China
"Manasa K. Nayak, Ayusman Dash, Nitesh Singh, Debabrata Dash",Aspirin Delimits Platelet Life Span by Proteasomal Inhibition,"PLOS ONE, August 2014 | Volume 9 | Issue 8 | e105049, doi: 10.1371/journal.pone.0105049",10.1371/journal.pone.0105049,2014,8-Aug,,,,1,Duplicated set of lanes within the same panel,1,12/12/14,,1.0,,1,Manasa K. Nayak,https://pubmed.ncbi.nlm.nih.gov//23329846/,4,https://www.researchgate.net/publication/264794682_Aspirin_Delimits_Platelet_Life_Span_by_Proteasomal_Inhibition,University of Cincinnati,13.4,20,United States,United States
"Wasia Rizwani, Aneesa Fasim, Deepshikha Sharma, Divya J. Reddy, Nabil A. M. Bin Omar, Surya S. Singh",S137 Phosphorylation of Profilin 1 Is an Important Signaling Event in Breast Cancer Progression,"PLOS ONE, August 2014 | Volume 9 | Issue 8 | e103868",10.1371/journal.pone.0103868,2014,8-Aug,,1.0,,,Duplicated microscopy panels,1,11/18/14,,1.0,,1,Wasia Rizwani,https://pubmed.ncbi.nlm.nih.gov//24520372/,6,https://www.researchgate.net/publication/264432072_S137_Phosphorylation_of_Profilin_1_Is_an_Important_Signaling_Event_in_Breast_Cancer_Progression,Osmania University,13.4,20,India,India
"Shiuan Wang, Kai Li Tan, Melina A. Agosto, Bo Xiong, Shinya Yamamoto, Hector Sandoval, Manish Jaiswal, Vafa Bayat, Ke Zhang, Wu-Lin Charng, Gabriela David, Lita Duraine, Kartik Venkatachalam, Theodore G. Wensel, Hugo J. Bellen",The Retromer Complex Is Required for Rhodopsin Recycling and Its Loss Leads to Photoreceptor Degeneration,"PLOS Biology, April 2014 | Volume 12 | Issue 4 | e1001847",10.1371/journal.pbio.1001847,2014,4-Apr,,1.0,,,duplicated microscopy panels,1,5/28/15,,1.0,,1,Shiuan Wang,https://pubmed.ncbi.nlm.nih.gov//24781186/,15,https://www.researchgate.net/publication/261996960_The_Retromer_Complex_Is_Required_for_Rhodopsin_Recycling_and_Its_Loss_Leads_to_Photoreceptor_Degeneration,Baylor College of Medicine,13.4,20,United States,United States
"Apiruck Watthanasurorot, Netnapa Saelee, Amornrat Phongdara, Sittiruk Roytrakul, Pikul Jiravanichpaisal, Kenneth So_derhï¿½ll, Irene Sï¿½derhï¿½llGab",Astakine 2ï¿½the Dark Knight Linking Melatonin to Circadian Regulation in Crustaceans,"PLOS Genetics, March 2013 | Volume 9 | Issue 3 | e1003361, doi:10.1371/journal.pgen.1003361",10.1371/journal.pgen.1003361,2013,3-Mar,,,,1,"multiple cases of shifted blots, duplicated bands within blots",1,4/27/15,1.0,,,1,Apiruck Watthanasurorot,https://pubmed.ncbi.nlm.nih.gov//25915908/,7,https://www.researchgate.net/publication/236106147_Retraction_Astakine_2-the_Dark_Knight_Linking_Melatonin_to_Circadian_Regulation_in_Crustaceans_PLoS_Genet_2015,Prince of Songkla University,13.4,20,Thailand,Thailand
"Dawn E. Watkins-Chow, Joanna Cooke, Ruth Pidsley, Andrew Edwards, Rebecca Slotkin, Karen E. Leeds, Raymond Mullen, Laura L. Baxter, Thomas G. Campbell, Marion C. Salzer, Laura Biondini, Gretchen Gibney, Franc _oise Phan Dinh Tuy, Jamel Chelly, H. Douglas Morris, Johannes Riegler, Mark F. Lythgoe, Ruth M. Arkell, Fabrizio Loreni, Jonathan Flint, William J. Pavan, David A. Keays",Mutation of the Diamond-Blackfan Anemia Gene Rps7 in Mouse Results in Morphological and Neuroanatomical Phenotypes,"PLOS Genetics, January 2013 | Volume 9 | Issue 1 | e1003094",10.1371/journal.pgen.1003094,2013,1-Jan,,1.0,,,duplicated microscopy panels,1,11/19/15,,1.0,,1,Dawn E. Watkins-Chow,https://pubmed.ncbi.nlm.nih.gov//23382688/,22,https://www.researchgate.net/publication/235402610_Mutation_of_the_Diamond-Blackfan_Anemia_Gene_Rps7_in_Mouse_Results_in_Morphological_and_Neuroanatomical_Phenotypes,Garvan Institute of Medical Research,13.4,20,Australia,Australia
